R,zeta,Gamma_enclosed,dGamma_dR,material_viscous_dGamma_dt
8.080000000000000515e-01,3.578753210391698025e-01,1.212991038832061053e+00,1.816866342836035431e+00,-1.258309718581299974e-01
8.120000000000000551e-01,3.545777048682392518e-01,1.220242875470201049e+00,1.809036469491043686e+00,-1.259089382765766485e-01
8.160000000000000586e-01,3.512944148018524171e-01,1.227463207360602881e+00,1.801114290951036034e+00,-1.259750795499468001e-01
8.200000000000000622e-01,3.480256169741700600e-01,1.234651669155164111e+00,1.793101743337256915e+00,-1.260294368174186552e-01
8.240000000000000657e-01,3.447714739990365707e-01,1.241807903247361011e+00,1.785000761246685830e+00,-1.260720537657659401e-01
8.280000000000000693e-01,3.415321449731414938e-01,1.248931559765299681e+00,1.776813277326110496e+00,-1.261029765965159810e-01
8.320000000000000728e-01,3.383077854799494966e-01,1.256022296563067853e+00,1.768541221850692624e+00,-1.261222539925522523e-01
8.360000000000000764e-01,3.350985475943951131e-01,1.263079779210416032e+00,1.760186522307141788e+00,-1.261299370841803269e-01
8.400000000000000799e-01,3.319045798883292764e-01,1.270103680980775529e+00,1.751751102981569552e+00,-1.261260794146730202e-01
8.440000000000000835e-01,3.287260274367128643e-01,1.277093682837642241e+00,1.743236884552120669e+00,-1.261107369053134086e-01
8.480000000000000870e-01,3.255630318245458232e-01,1.284049473419335730e+00,1.734645783686461051e+00,-1.260839678199530689e-01
8.520000000000000906e-01,3.224157311545240434e-01,1.290970749022161135e+00,1.725979712644206243e+00,-1.260458327291026082e-01
8.560000000000000941e-01,3.192842600554152144e-01,1.297857213581991020e+00,1.717240578884370761e+00,-1.259963944735732755e-01
8.599999999999999867e-01,3.161687496911438355e-01,1.304708578654286466e+00,1.708430284677912248e+00,-1.259357181276861415e-01
8.639999999999999902e-01,3.130693277705760003e-01,1.311524563392576948e+00,1.699550726725445493e+00,-1.258638709620672758e-01
8.679999999999999938e-01,3.099861185579957934e-01,1.318304894525424098e+00,1.690603795780202256e+00,-1.257809224060470465e-01
8.719999999999999973e-01,3.069192428842610343e-01,1.325049306331888221e+00,1.681591376276294625e+00,-1.256869440096796131e-01
8.760000000000000009e-01,3.038688181586319814e-01,1.331757540615514435e+00,1.672515345962363398e+00,-1.255820094054026226e-01
8.800000000000000044e-01,3.008349583812602868e-01,1.338429346676870413e+00,1.663377575540662789e+00,-1.254661942693528764e-01
8.840000000000000080e-01,2.978177741563298175e-01,1.345064481284645064e+00,1.654179928311646064e+00,-1.253395762823567572e-01
8.880000000000000115e-01,2.948173727058391869e-01,1.351662708645341660e+00,1.644924259824115831e+00,-1.252022350906126791e-01
8.920000000000000151e-01,2.918338578840150577e-01,1.358223800371580747e+00,1.635612417530986074e+00,-1.250542522660833822e-01
8.960000000000000187e-01,2.888673301923465608e-01,1.364747535449037041e+00,1.626246240450716307e+00,-1.248957112666150282e-01
9.000000000000000222e-01,2.859178867952307801e-01,1.371233700202033834e+00,1.616827558834467160e+00,-1.247266973958017777e-01
