Re_parent,m,ell_grad_over_delta,tau_diff_ell_over_tau_nl,Re_sub_if_parent_amplitude,Re_target_next,required_vorticity_amplitude_boost,log_boost
2.511886431509582053e+03,4.000000000000000000e+00,3.981071705534969187e-04,3.981071705534969187e-04,3.981071705534969187e-04,1.004754572603832821e+04,2.523829377920776978e+07,1.704387299347940399e+01
2.818382931264454783e+03,1.000000000000000000e+00,3.548133892335753221e-04,3.548133892335753221e-04,3.548133892335753221e-04,2.818382931264454783e+03,7.943282347242821008e+06,1.588783714165891681e+01
2.818382931264454783e+03,2.000000000000000000e+00,3.548133892335753221e-04,3.548133892335753221e-04,3.548133892335753221e-04,5.636765862528909565e+03,1.588656469448564202e+07,1.658098432221886043e+01
2.818382931264454783e+03,4.000000000000000000e+00,3.548133892335753221e-04,3.548133892335753221e-04,3.548133892335753221e-04,1.127353172505781913e+04,3.177312938897128403e+07,1.727413150277880760e+01
3.162277660168379498e+03,1.000000000000000000e+00,3.162277660168379394e-04,3.162277660168379394e-04,3.162277660168379394e-04,3.162277660168379498e+03,1.000000000000000000e+07,1.611809565095832042e+01
3.162277660168379498e+03,2.000000000000000000e+00,3.162277660168379394e-04,3.162277660168379394e-04,3.162277660168379394e-04,6.324555320336758996e+03,2.000000000000000000e+07,1.681124283151826404e+01
3.162277660168379498e+03,4.000000000000000000e+00,3.162277660168379394e-04,3.162277660168379394e-04,3.162277660168379394e-04,1.264911064067351799e+04,4.000000000000000000e+07,1.750439001207821121e+01
3.548133892335756627e+03,1.000000000000000000e+00,2.818382931264452299e-04,2.818382931264452299e-04,2.818382931264452299e-04,3.548133892335756627e+03,1.258925411794168688e+07,1.634835416025772403e+01
3.548133892335756627e+03,2.000000000000000000e+00,2.818382931264452299e-04,2.818382931264452299e-04,2.818382931264452299e-04,7.096267784671513255e+03,2.517850823588337377e+07,1.704150134081767121e+01
3.548133892335756627e+03,4.000000000000000000e+00,2.818382931264452299e-04,2.818382931264452299e-04,2.818382931264452299e-04,1.419253556934302651e+04,5.035701647176674753e+07,1.773464852137761483e+01
3.981071705534973262e+03,1.000000000000000000e+00,2.511886431509579545e-04,2.511886431509579545e-04,2.511886431509579545e-04,3.981071705534973262e+03,1.584893192461114191e+07,1.657861266955712765e+01
3.981071705534973262e+03,2.000000000000000000e+00,2.511886431509579545e-04,2.511886431509579545e-04,2.511886431509579545e-04,7.962143411069946524e+03,3.169786384922228381e+07,1.727175985011707482e+01
3.981071705534973262e+03,4.000000000000000000e+00,2.511886431509579545e-04,2.511886431509579545e-04,2.511886431509579545e-04,1.592428682213989305e+04,6.339572769844456762e+07,1.796490703067701844e+01
4.466835921509635227e+03,1.000000000000000000e+00,2.238721138568337517e-04,2.238721138568337517e-04,2.238721138568337517e-04,4.466835921509635227e+03,1.995262314968883246e+07,1.680887117885653481e+01
4.466835921509635227e+03,2.000000000000000000e+00,2.238721138568337517e-04,2.238721138568337517e-04,2.238721138568337517e-04,8.933671843019270455e+03,3.990524629937766492e+07,1.750201835941648199e+01
